name,event,time,total,used,free
start,gc,2022-01-01 23:00,396814486,241514395,155300091
start,gc,2022-01-01 23:03,392857427,174500606,218356821
start,gc,2022-01-01 23:05,395084616,278597433,116487183
start,gc,2022-01-01 23:08,392886015,275924797,116961218
start,gc,2022-01-01 23:10,397387168,235432507,161954661
start,gc,2022-01-01 23:14,390271080,281319623,108951457
start,gc,2022-01-01 23:15,398236863,353695220,44541643
start,gc,2022-01-01 23:17,397408544,329001763,68406781
start,gc,2022-01-01 23:18,390205182,302574444,87630738
start,gc,2022-01-01 23:19,395522679,207226675,188296004
start,gc,2022-01-01 23:21,391390249,127335545,264054704
start,gc,2022-01-01 23:23,390169557,214983145,175186412
start,gc,2022-01-01 23:28,390000065,359719695,30280370
start,gc,2022-01-01 23:29,399711398,319977765,79733633
start,gc,2022-01-01 23:30,396170798,145388500,250782298
